5617626.63734,1,cf029e2,4,8,b8,4e,7d,52,d4,7b,00,05,278256371,2024-05-31 17:23:57
5617626.64404,2,18fff329,4,8,01,00,03,00,00,00,00,00,278256372,2024-05-31 17:23:57
5617626.6446,2,cfff225,4,8,d4,07,1a,08,19,08,01,00,278256373,2024-05-31 17:23:57
5617626.64624,1,cf02ae2,4,8,c7,7c,3d,7d,23,7d,00,05,278256374,2024-05-31 17:23:57
5617626.6468,1,8f02de2,4,8,d6,7c,09,7d,d2,80,00,00,278256375,2024-05-31 17:23:57
5617626.64734,1,cf029e2,4,8,a8,4e,7d,3e,d4,7b,00,05,278256376,2024-05-31 17:23:57
5617626.65108,2,18ff3029,4,8,03,01,55,00,03,00,00,00,278256377,2024-05-31 17:23:57
5617626.65624,1,cf02ae2,4,8,c3,7c,40,7d,25,7d,00,05,278256378,2024-05-31 17:23:57
5617626.6568,1,8f02de2,4,8,d6,7c,09,7d,d2,80,00,00,278256379,2024-05-31 17:23:57
5617626.65734,1,cf029e2,4,8,a3,4e,7d,2f,d4,7b,00,05,278256380,2024-05-31 17:23:57
5617626.65785,2,18ff8c29,4,8,43,f2,03,7c,11,00,00,00,278256381,2024-05-31 17:23:57
5617626.6649,2,18ff8f29,4,8,00,00,00,00,00,00,00,00,278256382,2024-05-31 17:23:57
5617626.66624,1,cf02ae2,4,8,c4,7c,40,7d,23,7d,00,05,278256383,2024-05-31 17:23:57
5617626.66679,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256384,2024-05-31 17:23:57
5617626.66733,1,cf029e2,4,8,98,4e,7d,2b,d4,7b,00,05,278256385,2024-05-31 17:23:57
5617626.6696,1,9f8027f,4,8,00,fc,e1,51,00,00,ff,ff,278256386,2024-05-31 17:23:57
5617626.67015,1,9f8017f,4,8,b0,0e,9e,16,a5,8f,fa,b6,278256387,2024-05-31 17:23:57
5617626.67071,1,9f1127f,4,8,00,01,ca,ff,7f,ba,08,fd,278256388,2024-05-31 17:23:57
5617626.67128,1,df1137f,4,8,00,72,49,09,00,00,ff,ff,278256389,2024-05-31 17:23:57
5617626.6718,2,18fefc29,4,8,00,00,00,83,00,00,00,00,278256390,2024-05-31 17:23:57
5617626.67624,1,cf02ae2,4,8,c5,7c,3b,7d,23,7d,00,05,278256391,2024-05-31 17:23:57
5617626.6768,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256392,2024-05-31 17:23:57
5617626.67734,1,cf029e2,4,8,97,4e,7d,2e,d4,7b,00,05,278256393,2024-05-31 17:23:57
5617626.67877,2,18ff8d29,4,8,00,00,00,00,00,01,00,00,278256394,2024-05-31 17:23:57
5617626.68428,2,cfff125,4,8,8b,08,55,08,49,08,01,00,278256395,2024-05-31 17:23:57
5617626.68564,2,18ff1529,4,8,00,00,00,00,00,00,00,00,278256396,2024-05-31 17:23:57
5617626.68624,1,cf02ae2,4,8,c5,7c,39,7d,24,7d,00,05,278256397,2024-05-31 17:23:57
5617626.6868,1,8f02de2,4,8,d7,7c,0a,7d,d1,80,00,00,278256398,2024-05-31 17:23:57
5617626.68734,1,cf029e2,4,8,9d,4e,7d,2a,d4,7b,00,05,278256399,2024-05-31 17:23:57
5617626.69429,2,cfff225,4,8,d3,07,1a,08,18,08,01,00,278256400,2024-05-31 17:23:57
5617626.69624,1,cf02ae2,4,8,c3,7c,3c,7d,26,7d,00,05,278256401,2024-05-31 17:23:57
5617626.6968,1,8f02de2,4,8,d7,7c,0a,7d,d1,80,00,00,278256402,2024-05-31 17:23:57
5617626.69734,1,cf029e2,4,8,9f,4e,7d,25,d4,7b,00,05,278256403,2024-05-31 17:23:57
5617626.70624,1,cf02ae2,4,8,c2,7c,3b,7d,20,7d,00,05,278256404,2024-05-31 17:23:57
5617626.7068,1,8f02de2,4,8,d8,7c,0a,7d,d1,80,00,00,278256405,2024-05-31 17:23:57
5617626.70734,1,cf029e2,4,8,9c,4e,7d,29,d4,7b,00,05,278256406,2024-05-31 17:23:57
5617626.70938,2,18ffa780,4,8,fd,ff,ff,ff,ff,ff,ff,ff,278256407,2024-05-31 17:23:57
5617626.71624,1,cf02ae2,4,8,c0,7c,39,7d,28,7d,00,05,278256408,2024-05-31 17:23:57
5617626.7168,1,8f02de2,4,8,d8,7c,0a,7d,d1,80,00,00,278256409,2024-05-31 17:23:57
5617626.71734,1,cf029e2,4,8,96,4e,7d,2a,d4,7b,00,05,278256410,2024-05-31 17:23:57
5617626.72625,1,cf02ae2,4,8,be,7c,3d,7d,28,7d,00,05,278256411,2024-05-31 17:23:57
5617626.72681,1,8f02de2,4,8,d7,7c,0a,7d,d1,80,00,00,278256412,2024-05-31 17:23:57
5617626.72735,1,cf029e2,4,8,8d,4e,7d,22,d4,7b,00,05,278256413,2024-05-31 17:23:57
5617626.72776,2,cff3134,4,8,00,00,00,1b,00,00,00,00,278256414,2024-05-31 17:23:57
5617626.73428,2,cfff125,4,8,8d,08,56,08,49,08,01,00,278256415,2024-05-31 17:23:57
5617626.73624,1,cf02ae2,4,8,c3,7c,3e,7d,24,7d,00,05,278256416,2024-05-31 17:23:57
5617626.7368,1,8f02de2,4,8,d7,7c,0a,7d,d1,80,00,00,278256417,2024-05-31 17:23:57
5617626.73734,1,cf029e2,4,8,82,4e,7d,21,d4,7b,00,05,278256418,2024-05-31 17:23:57
5617626.73776,2,cff3334,4,8,00,00,00,00,01,00,00,00,278256419,2024-05-31 17:23:57
5617626.74624,1,cf02ae2,4,8,c4,7c,3c,7d,1c,7d,00,05,278256420,2024-05-31 17:23:57
5617626.7468,1,8f02de2,4,8,d7,7c,0a,7d,d1,80,00,00,278256421,2024-05-31 17:23:57
5617626.74735,1,cf029e2,4,8,81,4e,7d,27,d4,7b,00,05,278256422,2024-05-31 17:23:57
5617626.75429,2,cfff225,4,8,d4,07,1a,08,19,08,01,00,278256423,2024-05-31 17:23:57
5617626.75624,1,cf02ae2,4,8,c3,7c,41,7d,23,7d,00,05,278256424,2024-05-31 17:23:57
5617626.7568,1,8f02de2,4,8,d8,7c,09,7d,d1,80,00,00,278256425,2024-05-31 17:23:57
